start_time_s,end_time_s,pitch_midi,velocity,pitch_bend
92.36998911564625,92.61379863945578,68,51,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
92.358379138322,92.61379863945578,74,34,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
92.358379138322,92.61379863945578,62,51,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
92.24227936507936,92.43964897959184,65,56,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
92.04490975056689,92.24227936507936,65,75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
92.01007981859411,92.47447891156462,46,61,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
91.8243201814059,92.34676916099772,53,45,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1
91.77788027210885,91.9172,41,40,1,1,1,1,1,1,1,1,1,1,1,1
91.76627029478458,92.04490975056689,65,62,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
91.59212063492063,91.76627029478458,65,55,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
91.59212063492063,91.8243201814059,53,47,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
91.476020861678,92.01007981859411,46,51,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
91.41797097505669,91.59212063492063,53,42,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
91.40636099773242,91.59212063492063,65,64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
91.16126757369614,91.38185714285714,63,60,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
91.12643764172334,91.40636099773242,39,59,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
91.04516780045351,91.476020861678,46,64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
90.96389795918367,91.16126757369614,63,68,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
90.65042857142856,91.04516780045351,46,69,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
90.63881859410431,90.91745804988662,51,38,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
90.38339909297052,90.65042857142856,46,74,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
90.31373922902493,90.48788888888888,63,50,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
90.24407936507936,90.38339909297052,46,74,1,1,1,1,1,1,1,1,1,1,1,1
90.20924943310656,91.3586371882086,43,52,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
89.9770498866213,90.15119954648526,75,38,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1
89.59392063492062,89.82612018140588,51,51,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
89.5707006802721,91.12643764172334,39,57,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
89.51265079365079,90.24407936507936,46,52,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
